Date,Time,Away,Home
2016-10-12,10:00 PM,Calgary Flames,Edmonton Oilers
2016-10-12,8:00 PM,St. Louis Blues,Chicago Blackhawks
2016-10-12,10:30 PM,Los Angeles Kings,San Jose Sharks
2016-10-12,7:00 PM,Toronto Maple Leafs,Ottawa Senators
2016-10-13,8:30 PM,Anaheim Ducks,Dallas Stars
2016-10-13,7:00 PM,Boston Bruins,Columbus Blue Jackets
2016-10-13,7:00 PM,Montreal Canadiens,Buffalo Sabres
2016-10-13,8:00 PM,Carolina Hurricanes,Winnipeg Jets
2016-10-13,7:30 PM,Detroit Red Wings,Tampa Bay Lightning
2016-10-13,7:30 PM,New Jersey Devils,Florida Panthers
2016-10-13,8:00 PM,Minnesota Wild,St. Louis Blues
2016-10-13,7:00 PM,New York Islanders,New York Rangers
2016-10-13,7:00 PM,Washington Capitals,Pittsburgh Penguins
2016-10-14,9:00 PM,Edmonton Oilers,Calgary Flames
2016-10-14,8:00 PM,Chicago Blackhawks,Nashville Predators
2016-10-14,10:30 PM,Philadelphia Flyers,Los Angeles Kings
2016-10-15,7:00 PM,Anaheim Ducks,Pittsburgh Penguins
2016-10-15,9:00 PM,Philadelphia Flyers,Arizona Coyotes
2016-10-15,7:00 PM,Boston Bruins,Toronto Maple Leafs
2016-10-15,7:00 PM,San Jose Sharks,Columbus Blue Jackets
2016-10-15,10:00 PM,Calgary Flames,Vancouver Canucks
2016-10-15,8:30 PM,Nashville Predators,Chicago Blackhawks
2016-10-15,9:00 PM,Dallas Stars,Colorado Avalanche
2016-10-15,7:00 PM,Detroit Red Wings,Florida Panthers
2016-10-15,7:00 PM,Winnipeg Jets,Minnesota Wild
2016-10-15,7:00 PM,Montreal Canadiens,Ottawa Senators
2016-10-15,7:00 PM,New Jersey Devils,Tampa Bay Lightning
2016-10-15,7:00 PM,New York Islanders,Washington Capitals
2016-10-15,8:00 PM,New York Rangers,St. Louis Blues
2016-10-16,6:00 PM,Anaheim Ducks,New York Islanders
2016-10-16,7:00 PM,Buffalo Sabres,Edmonton Oilers
2016-10-16,10:00 PM,Carolina Hurricanes,Vancouver Canucks
2016-10-17,8:00 PM,Boston Bruins,Winnipeg Jets
2016-10-17,7:00 PM,Colorado Avalanche,Pittsburgh Penguins
2016-10-17,7:30 PM,Ottawa Senators,Detroit Red Wings
2016-10-17,7:00 PM,San Jose Sharks,New York Rangers
2016-10-18,7:00 PM,Anaheim Ducks,New Jersey Devils
2016-10-18,7:30 PM,Arizona Coyotes,Ottawa Senators
2016-10-18,9:00 PM,Buffalo Sabres,Calgary Flames
2016-10-18,9:00 PM,Carolina Hurricanes,Edmonton Oilers
2016-10-18,8:30 PM,Philadelphia Flyers,Chicago Blackhawks
2016-10-18,7:00 PM,Colorado Avalanche,Washington Capitals
2016-10-18,8:00 PM,Dallas Stars,Nashville Predators
2016-10-18,7:30 PM,Florida Panthers,Tampa Bay Lightning
2016-10-18,8:00 PM,Los Angeles Kings,Minnesota Wild
2016-10-18,7:30 PM,Pittsburgh Penguins,Montreal Canadiens
2016-10-18,7:00 PM,San Jose Sharks,New York Islanders
2016-10-18,10:00 PM,St. Louis Blues,Vancouver Canucks
2016-10-19,8:00 PM,Detroit Red Wings,New York Rangers
2016-10-19,8:00 PM,Toronto Maple Leafs,Winnipeg Jets
2016-10-20,7:00 PM,Anaheim Ducks,Philadelphia Flyers
2016-10-20,7:30 PM,Arizona Coyotes,Montreal Canadiens
2016-10-20,7:00 PM,New Jersey Devils,Boston Bruins
2016-10-20,10:00 PM,Buffalo Sabres,Vancouver Canucks
2016-10-20,9:00 PM,Carolina Hurricanes,Calgary Flames
2016-10-20,7:30 PM,Colorado Avalanche,Tampa Bay Lightning
2016-10-20,8:30 PM,Los Angeles Kings,Dallas Stars
2016-10-20,9:00 PM,St. Louis Blues,Edmonton Oilers
2016-10-20,7:30 PM,Washington Capitals,Florida Panthers
2016-10-20,8:00 PM,Toronto Maple Leafs,Minnesota Wild
2016-10-20,7:00 PM,San Jose Sharks,Pittsburgh Penguins
2016-10-21,7:00 PM,Arizona Coyotes,New York Islanders
2016-10-21,7:00 PM,Chicago Blackhawks,Columbus Blue Jackets
2016-10-21,7:30 PM,Nashville Predators,Detroit Red Wings
2016-10-22,7:00 PM,Montreal Canadiens,Boston Bruins
2016-10-22,7:00 PM,Carolina Hurricanes,Philadelphia Flyers
2016-10-22,8:00 PM,Columbus Blue Jackets,Dallas Stars
2016-10-22,10:00 PM,St. Louis Blues,Calgary Flames
2016-10-22,7:00 PM,Toronto Maple Leafs,Chicago Blackhawks
2016-10-22,7:00 PM,Colorado Avalanche,Florida Panthers
2016-10-22,7:00 PM,San Jose Sharks,Detroit Red Wings
2016-10-22,10:00 PM,Vancouver Canucks,Los Angeles Kings
2016-10-22,7:00 PM,Minnesota Wild,New Jersey Devils
2016-10-22,8:00 PM,Pittsburgh Penguins,Nashville Predators
2016-10-22,7:00 PM,New York Rangers,Washington Capitals
2016-10-22,7:00 PM,Tampa Bay Lightning,Ottawa Senators
2016-10-23,8:00 PM,Vancouver Canucks,Anaheim Ducks
2016-10-23,7:00 PM,Arizona Coyotes,New York Rangers
2016-10-23,3:00 PM,Edmonton Oilers,Winnipeg Jets
2016-10-23,6:00 PM,Minnesota Wild,New York Islanders
2016-10-24,8:30 PM,Calgary Flames,Chicago Blackhawks
2016-10-24,7:30 PM,Philadelphia Flyers,Montreal Canadiens
2016-10-25,10:30 PM,Anaheim Ducks,San Jose Sharks
2016-10-25,7:00 PM,Arizona Coyotes,New Jersey Devils
2016-10-25,7:00 PM,Minnesota Wild,Boston Bruins
2016-10-25,7:00 PM,Buffalo Sabres,Philadelphia Flyers
2016-10-25,7:30 PM,Carolina Hurricanes,Detroit Red Wings
2016-10-25,10:30 PM,Columbus Blue Jackets,Los Angeles Kings
2016-10-25,8:00 PM,Calgary Flames,St. Louis Blues
2016-10-25,8:30 PM,Winnipeg Jets,Dallas Stars
2016-10-25,7:00 PM,Florida Panthers,Pittsburgh Penguins
2016-10-25,10:00 PM,Ottawa Senators,Vancouver Canucks
2016-10-25,7:30 PM,Tampa Bay Lightning,Toronto Maple Leafs
2016-10-26,10:30 PM,Nashville Predators,Anaheim Ducks
2016-10-26,8:00 PM,Boston Bruins,New York Rangers
2016-10-26,9:30 PM,Washington Capitals,Edmonton Oilers
2016-10-26,7:00 PM,Montreal Canadiens,New York Islanders
2016-10-27,7:00 PM,Arizona Coyotes,Philadelphia Flyers
2016-10-27,7:00 PM,Minnesota Wild,Buffalo Sabres
2016-10-27,10:30 PM,Columbus Blue Jackets,San Jose Sharks
2016-10-27,8:00 PM,Dallas Stars,Winnipeg Jets
2016-10-27,8:00 PM,Detroit Red Wings,St. Louis Blues
2016-10-27,7:30 PM,Florida Panthers,Toronto Maple Leafs
2016-10-27,10:30 PM,Nashville Predators,Los Angeles Kings
2016-10-27,7:30 PM,Tampa Bay Lightning,Montreal Canadiens
2016-10-27,7:00 PM,New York Islanders,Pittsburgh Penguins
2016-10-28,10:00 PM,Columbus Blue Jackets,Anaheim Ducks
2016-10-28,7:30 PM,New York Rangers,Carolina Hurricanes
2016-10-28,9:00 PM,Ottawa Senators,Calgary Flames
2016-10-28,7:30 PM,Chicago Blackhawks,New Jersey Devils
2016-10-28,9:00 PM,Winnipeg Jets,Colorado Avalanche
2016-10-28,10:00 PM,Edmonton Oilers,Vancouver Canucks
2016-10-29,9:00 PM,Colorado Avalanche,Arizona Coyotes
2016-10-29,7:00 PM,Boston Bruins,Detroit Red Wings
2016-10-29,1:00 PM,Florida Panthers,Buffalo Sabres
2016-10-29,8:00 PM,Dallas Stars,Minnesota Wild
2016-10-29,8:00 PM,Los Angeles Kings,St. Louis Blues
2016-10-29,7:00 PM,Toronto Maple Leafs,Montreal Canadiens
2016-10-29,7:00 PM,Tampa Bay Lightning,New Jersey Devils
2016-10-29,10:30 PM,Nashville Predators,San Jose Sharks
2016-10-29,7:00 PM,Pittsburgh Penguins,Philadelphia Flyers
2016-10-29,10:00 PM,Washington Capitals,Vancouver Canucks
2016-10-30,3:00 PM,Buffalo Sabres,Winnipeg Jets
2016-10-30,5:00 PM,Philadelphia Flyers,Carolina Hurricanes
2016-10-30,9:30 PM,Washington Capitals,Calgary Flames
2016-10-30,7:00 PM,Los Angeles Kings,Chicago Blackhawks
2016-10-30,5:00 PM,Florida Panthers,Detroit Red Wings
2016-10-30,9:00 PM,Ottawa Senators,Edmonton Oilers
2016-10-30,6:00 PM,Toronto Maple Leafs,New York Islanders
2016-10-30,7:00 PM,Tampa Bay Lightning,New York Rangers
2016-11-01,10:30 PM,Anaheim Ducks,Los Angeles Kings
2016-11-01,10:00 PM,San Jose Sharks,Arizona Coyotes
2016-11-01,7:30 PM,Boston Bruins,Florida Panthers
2016-11-01,8:00 PM,Buffalo Sabres,Minnesota Wild
2016-11-01,7:30 PM,Carolina Hurricanes,Ottawa Senators
2016-11-01,7:00 PM,Dallas Stars,Columbus Blue Jackets
2016-11-01,8:30 PM,Calgary Flames,Chicago Blackhawks
2016-11-01,9:00 PM,Nashville Predators,Colorado Avalanche
2016-11-01,7:30 PM,Edmonton Oilers,Toronto Maple Leafs
2016-11-01,7:00 PM,Tampa Bay Lightning,New York Islanders
2016-11-01,7:00 PM,St. Louis Blues,New York Rangers
2016-11-01,8:00 PM,Washington Capitals,Winnipeg Jets
2016-11-02,10:30 PM,Pittsburgh Penguins,Anaheim Ducks
2016-11-02,8:00 PM,Detroit Red Wings,Philadelphia Flyers
2016-11-02,7:30 PM,Vancouver Canucks,Montreal Canadiens
2016-11-03,10:00 PM,Nashville Predators,Arizona Coyotes
2016-11-03,7:30 PM,Boston Bruins,Tampa Bay Lightning
2016-11-03,7:00 PM,Toronto Maple Leafs,Buffalo Sabres
2016-11-03,10:30 PM,Calgary Flames,San Jose Sharks
2016-11-03,8:30 PM,Colorado Avalanche,Chicago Blackhawks
2016-11-03,8:30 PM,St. Louis Blues,Dallas Stars
2016-11-03,7:00 PM,Edmonton Oilers,New York Rangers
2016-11-03,7:30 PM,New Jersey Devils,Florida Panthers
2016-11-03,10:30 PM,Pittsburgh Penguins,Los Angeles Kings
2016-11-03,7:00 PM,Philadelphia Flyers,New York Islanders
2016-11-03,7:30 PM,Vancouver Canucks,Ottawa Senators
2016-11-03,7:00 PM,Winnipeg Jets,Washington Capitals
2016-11-04,10:00 PM,Arizona Coyotes,Anaheim Ducks
2016-11-04,7:00 PM,Montreal Canadiens,Columbus Blue Jackets
2016-11-04,7:30 PM,Winnipeg Jets,Detroit Red Wings
2016-11-05,7:00 PM,New York Rangers,Boston Bruins
2016-11-05,7:00 PM,Buffalo Sabres,Ottawa Senators
2016-11-05,8:00 PM,Carolina Hurricanes,Nashville Predators
2016-11-05,7:00 PM,Columbus Blue Jackets,St. Louis Blues
2016-11-05,10:00 PM,Calgary Flames,Los Angeles Kings
2016-11-05,8:00 PM,Chicago Blackhawks,Dallas Stars
2016-11-05,3:00 PM,Minnesota Wild,Colorado Avalanche
2016-11-05,7:00 PM,Edmonton Oilers,New York Islanders
2016-11-05,7:00 PM,Florida Panthers,Washington Capitals
2016-11-05,7:00 PM,Philadelphia Flyers,Montreal Canadiens
2016-11-05,7:00 PM,New Jersey Devils,Tampa Bay Lightning
2016-11-05,10:30 PM,Pittsburgh Penguins,San Jose Sharks
2016-11-05,7:00 PM,Vancouver Canucks,Toronto Maple Leafs
2016-11-06,9:30 PM,Calgary Flames,Anaheim Ducks
2016-11-06,6:00 PM,New Jersey Devils,Carolina Hurricanes
2016-11-06,7:00 PM,Dallas Stars,Chicago Blackhawks
2016-11-06,5:00 PM,Colorado Avalanche,St. Louis Blues
2016-11-06,5:00 PM,Edmonton Oilers,Detroit Red Wings
2016-11-06,7:00 PM,Winnipeg Jets,New York Rangers
2016-11-07,7:00 PM,Buffalo Sabres,Boston Bruins
2016-11-07,7:30 PM,Tampa Bay Lightning,Florida Panthers
2016-11-07,7:00 PM,Vancouver Canucks,New York Islanders
2016-11-08,9:00 PM,Arizona Coyotes,Colorado Avalanche
2016-11-08,7:30 PM,Boston Bruins,Montreal Canadiens
2016-11-08,7:00 PM,Carolina Hurricanes,New Jersey Devils
2016-11-08,8:00 PM,Dallas Stars,Winnipeg Jets
2016-11-08,7:00 PM,Detroit Red Wings,Philadelphia Flyers
2016-11-08,7:00 PM,Edmonton Oilers,Pittsburgh Penguins
2016-11-08,7:30 PM,Los Angeles Kings,Toronto Maple Leafs
2016-11-08,8:00 PM,Ottawa Senators,Nashville Predators
2016-11-08,7:00 PM,Vancouver Canucks,New York Rangers
2016-11-08,7:00 PM,San Jose Sharks,Washington Capitals
2016-11-09,7:00 PM,Anaheim Ducks,Columbus Blue Jackets
2016-11-09,7:30 PM,Ottawa Senators,Buffalo Sabres
2016-11-09,8:00 PM,Chicago Blackhawks,St. Louis Blues
2016-11-10,7:00 PM,Anaheim Ducks,Carolina Hurricanes
2016-11-10,9:00 PM,Winnipeg Jets,Arizona Coyotes
2016-11-10,7:00 PM,Columbus Blue Jackets,Boston Bruins
2016-11-10,9:00 PM,Dallas Stars,Calgary Flames
2016-11-10,7:30 PM,Vancouver Canucks,Detroit Red Wings
2016-11-10,7:30 PM,San Jose Sharks,Florida Panthers
2016-11-10,7:30 PM,Los Angeles Kings,Montreal Canadiens
2016-11-10,7:00 PM,Minnesota Wild,Pittsburgh Penguins
2016-11-10,8:00 PM,St. Louis Blues,Nashville Predators
2016-11-10,7:30 PM,New York Islanders,Tampa Bay Lightning
2016-11-11,7:00 PM,New Jersey Devils,Buffalo Sabres
2016-11-11,8:30 PM,Washington Capitals,Chicago Blackhawks
2016-11-11,9:00 PM,Winnipeg Jets,Colorado Avalanche
2016-11-11,9:00 PM,Dallas Stars,Edmonton Oilers
2016-11-11,7:30 PM,Los Angeles Kings,Ottawa Senators
2016-11-11,7:00 PM,Philadelphia Flyers,Toronto Maple Leafs
2016-11-12,8:00 PM,Anaheim Ducks,Nashville Predators
2016-11-12,8:00 PM,Boston Bruins,Arizona Coyotes
2016-11-12,7:00 PM,Buffalo Sabres,New Jersey Devils
2016-11-12,7:00 PM,Washington Capitals,Carolina Hurricanes
2016-11-12,7:00 PM,St. Louis Blues,Columbus Blue Jackets
2016-11-12,10:00 PM,New York Rangers,Calgary Flames
2016-11-12,7:00 PM,Detroit Red Wings,Montreal Canadiens
2016-11-12,7:00 PM,New York Islanders,Florida Panthers
2016-11-12,7:00 PM,Minnesota Wild,Philadelphia Flyers
2016-11-12,7:00 PM,Toronto Maple Leafs,Pittsburgh Penguins
2016-11-12,7:00 PM,San Jose Sharks,Tampa Bay Lightning
2016-11-13,7:00 PM,Boston Bruins,Colorado Avalanche
2016-11-13,7:00 PM,Montreal Canadiens,Chicago Blackhawks
2016-11-13,4:00 PM,Dallas Stars,Vancouver Canucks
2016-11-13,9:30 PM,New York Rangers,Edmonton Oilers
2016-11-13,3:00 PM,Los Angeles Kings,Winnipeg Jets
2016-11-13,5:00 PM,Minnesota Wild,Ottawa Senators
2016-11-14,7:00 PM,Tampa Bay Lightning,New York Islanders
2016-11-15,10:00 PM,Edmonton Oilers,Anaheim Ducks
2016-11-15,8:00 PM,Buffalo Sabres,St. Louis Blues
2016-11-15,7:00 PM,San Jose Sharks,Carolina Hurricanes
2016-11-15,7:00 PM,Washington Capitals,Columbus Blue Jackets
2016-11-15,8:00 PM,Calgary Flames,Minnesota Wild
2016-11-15,8:00 PM,Chicago Blackhawks,Winnipeg Jets
2016-11-15,9:00 PM,Los Angeles Kings,Colorado Avalanche
2016-11-15,8:30 PM,New Jersey Devils,Dallas Stars
2016-11-15,7:30 PM,Tampa Bay Lightning,Detroit Red Wings
2016-11-15,7:30 PM,Florida Panthers,Montreal Canadiens
2016-11-15,7:30 PM,Nashville Predators,Toronto Maple Leafs
2016-11-15,10:00 PM,New York Rangers,Vancouver Canucks
2016-11-15,7:00 PM,Ottawa Senators,Philadelphia Flyers
2016-11-16,10:00 PM,Arizona Coyotes,Calgary Flames
2016-11-16,8:00 PM,Pittsburgh Penguins,Washington Capitals
2016-11-17,10:00 PM,New Jersey Devils,Anaheim Ducks
2016-11-17,10:00 PM,Arizona Coyotes,Vancouver Canucks
2016-11-17,8:00 PM,Boston Bruins,Minnesota Wild
2016-11-17,7:00 PM,Tampa Bay Lightning,Buffalo Sabres
2016-11-17,8:30 PM,Colorado Avalanche,Dallas Stars
2016-11-17,10:30 PM,Edmonton Oilers,Los Angeles Kings
2016-11-17,7:30 PM,Florida Panthers,Toronto Maple Leafs
2016-11-17,7:30 PM,Nashville Predators,Ottawa Senators
2016-11-17,7:00 PM,Winnipeg Jets,Philadelphia Flyers
2016-11-17,8:00 PM,San Jose Sharks,St. Louis Blues
2016-11-18,7:30 PM,Montreal Canadiens,Carolina Hurricanes
2016-11-18,7:00 PM,New York Rangers,Columbus Blue Jackets
2016-11-18,9:00 PM,Chicago Blackhawks,Calgary Flames
2016-11-18,7:00 PM,Detroit Red Wings,Washington Capitals
2016-11-18,7:00 PM,Pittsburgh Penguins,New York Islanders
2016-11-19,8:00 PM,San Jose Sharks,Arizona Coyotes
2016-11-19,7:00 PM,Winnipeg Jets,Boston Bruins
2016-11-19,7:00 PM,Pittsburgh Penguins,Buffalo Sabres
2016-11-19,10:00 PM,Chicago Blackhawks,Vancouver Canucks
2016-11-19,8:00 PM,Colorado Avalanche,Minnesota Wild
2016-11-19,7:00 PM,Edmonton Oilers,Dallas Stars
2016-11-19,7:00 PM,Florida Panthers,Ottawa Senators
2016-11-19,4:00 PM,New Jersey Devils,Los Angeles Kings
2016-11-19,7:00 PM,Toronto Maple Leafs,Montreal Canadiens
2016-11-19,8:00 PM,Nashville Predators,St. Louis Blues
2016-11-19,1:00 PM,Tampa Bay Lightning,Philadelphia Flyers
2016-11-20,8:00 PM,Los Angeles Kings,Anaheim Ducks
2016-11-20,5:00 PM,Winnipeg Jets,Carolina Hurricanes
2016-11-20,12:30 PM,Columbus Blue Jackets,Washington Capitals
2016-11-20,7:30 PM,Calgary Flames,Detroit Red Wings
2016-11-20,5:00 PM,Florida Panthers,New York Rangers
2016-11-21,7:00 PM,Calgary Flames,Buffalo Sabres
2016-11-21,7:00 PM,Colorado Avalanche,Columbus Blue Jackets
2016-11-21,9:00 PM,Chicago Blackhawks,Edmonton Oilers
2016-11-21,8:30 PM,Minnesota Wild,Dallas Stars
2016-11-21,10:30 PM,New Jersey Devils,San Jose Sharks
2016-11-21,8:00 PM,Tampa Bay Lightning,Nashville Predators
2016-11-21,7:00 PM,New York Rangers,Pittsburgh Penguins
2016-11-22,10:00 PM,New York Islanders,Anaheim Ducks
2016-11-22,7:00 PM,St. Louis Blues,Boston Bruins
2016-11-22,7:00 PM,Carolina Hurricanes,Toronto Maple Leafs
2016-11-22,7:30 PM,Philadelphia Flyers,Florida Panthers
2016-11-22,7:30 PM,Ottawa Senators,Montreal Canadiens
2016-11-23,10:00 PM,Vancouver Canucks,Arizona Coyotes
2016-11-23,7:00 PM,Detroit Red Wings,Buffalo Sabres
2016-11-23,7:00 PM,Calgary Flames,Columbus Blue Jackets
2016-11-23,10:30 PM,Chicago Blackhawks,San Jose Sharks
2016-11-23,10:00 PM,Edmonton Oilers,Colorado Avalanche
2016-11-23,8:00 PM,Dallas Stars,Nashville Predators
2016-11-23,10:30 PM,New York Islanders,Los Angeles Kings
2016-11-23,7:00 PM,Winnipeg Jets,Minnesota Wild
2016-11-23,7:00 PM,Toronto Maple Leafs,New Jersey Devils
2016-11-23,7:00 PM,Pittsburgh Penguins,New York Rangers
2016-11-23,7:30 PM,Philadelphia Flyers,Tampa Bay Lightning
2016-11-23,7:00 PM,St. Louis Blues,Washington Capitals
2016-11-24,7:30 PM,Boston Bruins,Ottawa Senators
2016-11-24,7:30 PM,Carolina Hurricanes,Montreal Canadiens
2016-11-25,4:00 PM,Chicago Blackhawks,Anaheim Ducks
2016-11-25,9:00 PM,Edmonton Oilers,Arizona Coyotes
2016-11-25,7:30 PM,Calgary Flames,Boston Bruins
2016-11-25,5:00 PM,Buffalo Sabres,Washington Capitals
2016-11-25,7:30 PM,Columbus Blue Jackets,Tampa Bay Lightning
2016-11-25,8:30 PM,Vancouver Canucks,Dallas Stars
